ZIP,Place,State,Longitude,Latitude,Longitude_Projected,Latitude_Projected
80836,Stratton,CO,-102.5979,39.3087,394.2986858504836,235.27362902460936
80840,Usaf Academy,CO,-103.8188,39.0896,376.5345278464871,238.06646411459712
80841,Usaf Academy,CO,-103.8188,39.0896,376.5345278464871,238.06646411459712
80860,Victor,CO,-105.14,38.71,356.95474044934235,243.50105374947532
80861,Vona,CO,-102.7393,39.3236,392.299671687995,234.8515385334441
80862,Wild Horse,CO,-103.0798,38.8041,386.7109250317957,244.2654978180418
80863,Woodland Park,CO,-105.0623,38.9969,358.5860104526344,238.22303571440932
80864,Yoder,CO,-104.2184,38.7753,370.3061786126413,243.48720572388822
80866,Woodland Park,CO,-105.0569,38.9939,358.65790159463495,238.28673299551997
80901,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80902,Colorado Springs,CO,-104.8063,38.7536,361.8253298583455,243.13643301784543
80903,Colorado Springs,CO,-104.8145,38.8388,361.85634782967156,241.52582498528977
80904,Colorado Springs,CO,-104.8595,38.8533,361.23630563667217,241.19340775997762
80905,Colorado Springs,CO,-104.837,38.8377,361.5316726984697,241.51642021795942
80906,Colorado Springs,CO,-104.8199,38.7902,361.69396731647987,242.43109117371284
80907,Colorado Springs,CO,-104.817,38.876,361.88546485199106,240.82405945721325
80908,Colorado Springs,CO,-104.6933,39.0237,363.91345794376247,238.21458245705549
80909,Colorado Springs,CO,-104.7735,38.852,362.4674306698453,241.33255773425878
80910,Colorado Springs,CO,-104.7703,38.8152,362.4493862132857,242.0277615221421
80911,Colorado Springs,CO,-104.7223,38.7457,363.0180951759233,243.39633777883398
80912,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80913,Colorado Springs,CO,-104.7536,38.73,362.54127288864527,243.64968193065192
80914,Colorado Springs,CO,-104.7012,38.8192,363.44789000399555,242.04405158507598
80915,Colorado Springs,CO,-104.7134,38.8558,363.3360023735362,241.34072999980276
80916,Colorado Springs,CO,-104.7403,38.8076,362.866727987499,242.2102338366043
80917,Colorado Springs,CO,-104.7399,38.886,363.0082187480414,240.7386890368888
80918,Colorado Springs,CO,-104.7734,38.9129,362.5747155729064,240.18925328829653
80919,Colorado Springs,CO,-104.8464,38.9268,361.5529853504829,239.8310490919182
80920,Colorado Springs,CO,-104.767,38.9497,362.7303459614648,239.50680238329983
80921,Colorado Springs,CO,-104.814,39.0487,362.2300249642278,237.58571454276182
80922,Colorado Springs,CO,-104.6982,38.905,363.6387958465822,240.43692523871982
80923,Colorado Springs,CO,-104.7045,38.9189,363.5724677414032,240.16763842613318
80924,Colorado Springs,CO,-104.7211,38.9676,363.4187279617014,239.23136642057432
80925,Colorado Springs,CO,-104.6459,38.7378,364.102032175076,243.6452448361281
80926,Colorado Springs,CO,-104.8505,38.6981,361.0932501110328,244.1193149894375
80927,Colorado Springs,CO,-104.6583,38.9286,364.25118048317177,240.0461399912873
80928,Colorado Springs,CO,-104.457,38.6233,366.6243134198029,246.04068527468166
80929,Colorado Springs,CO,-104.6079,38.7968,364.74860566954356,242.5869605199441
80930,Colorado Springs,CO,-104.5269,38.8289,365.96569636557444,242.08921460784222
80931,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80932,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80933,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80934,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80935,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80936,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80937,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80938,Colorado Springs,CO,-104.6634,38.9047,364.137081801392,240.48824355814656
80939,Colorado Springs,CO,-104.6774,38.8776,363.8898233595957,240.97875259241823
80941,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80942,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80944,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80946,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80947,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80949,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80950,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80951,Colorado Springs,CO,-104.6556,38.8881,364.220418631676,240.81016837024163
80960,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80962,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80970,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80977,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80995,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
80997,Colorado Springs,CO,-104.8214,38.8339,361.74880730486075,241.60861324585505
81001,Pueblo,CO,-104.5848,38.2879,364.21459875370095,252.17445469016707
81002,Pueblo,CO,-104.6091,38.2544,363.80616101032604,252.7717530140476
81003,Pueblo,CO,-104.6234,38.2843,363.65043249743053,252.19141053112298
81004,Pueblo,CO,-104.6278,38.2441,363.5180988371669,252.9406014719293
81005,Pueblo,CO,-104.66,38.2352,363.03707183531446,253.06526786431596
81006,Pueblo,CO,-104.5318,38.2447,364.9077855843983,253.05503232916556
81007,Pueblo,CO,-104.7792,38.387,361.5768747497864,250.05617355296886
81008,Pueblo,CO,-104.6284,38.3133,363.6277289125704,251.64019740508695
81009,Pueblo,CO,-104.5523,38.1286,364.41448999546697,255.20890629614848
81010,Pueblo,CO,-104.5523,38.1286,364.41448999546697,255.20890629614848
81011,Pueblo,CO,-104.5523,38.1286,364.41448999546697,255.20890629614848
81012,Pueblo,CO,-104.5523,38.1286,364.41448999546697,255.20890629614848
81019,Colorado City,CO,-104.8412,37.9441,359.90613507798344,258.2892330552004
81020,Aguilar,CO,-104.6769,37.3933,361.3451523059128,268.8536307060434
81021,Arlington,CO,-103.3697,38.4068,381.9642101869583,251.41763540499062
81022,Avondale,CO,-104.5298,38.1025,364.6963713195555,255.72850573341464
81023,Beulah,CO,-104.9724,38.0837,358.2492708509108,255.48925484552353
81024,Boncarbo,CO,-104.7198,37.2081,360.3974868681032,272.2737262369435
81025,Boone,CO,-104.2585,38.2646,368.89438413294863,253.03133756887905
81027,Branson,CO,-103.8741,37.0518,372.5633060918279,276.29700405567974
81029,Campo,CO,-102.5464,37.1195,392.19288100404333,276.5087806481771
81030,Cheraw,CO,-103.5102,38.107,379.48801013234765,256.894465036557
81033,Crowley,CO,-103.8561,38.1931,374.6050831311394,254.86984925086165
81034,Crowley,CO,-103.8561,38.1931,374.6050831311394,254.86984925086165
81036,Eads,CO,-102.5549,38.4408,393.7849322068692,251.6422147139058
81038,Fort Lyon,CO,-103.0725,37.9555,385.62613478722017,260.23176881136453
81039,Fowler,CO,-104.0299,38.1231,371.97638978961464,255.9743619845517
81040,Gardner,CO,-105.1849,37.7878,354.6317287208544,260.74844009569733
81041,Granada,CO,-102.3271,38.0545,396.5925387394691,259.134465318023
81043,Hartman,CO,-102.2168,38.1195,398.2753646481149,258.0172017984612
81044,Hasty,CO,-103.015,37.959,386.4671507413268,260.22802489012395
81045,Haswell,CO,-103.1505,38.4474,385.18918237877625,250.89659459175505
81046,Hoehne,CO,-104.3584,37.2796,365.8178680812198,271.4082825312702
81047,Holly,CO,-102.1415,38.0205,399.24804815035344,259.95147268670655
81049,Kim,CO,-103.3736,37.3328,380.33812264766095,271.6061122776417
81050,La Junta,CO,-103.6644,37.9546,377.01977313959,259.5802264981153
81052,Lamar,CO,-102.6192,38.0841,392.38765748267963,258.2881309627495
81054,Las Animas,CO,-103.0884,37.923,385.3492598798717,260.82571189561463
81055,La Veta,CO,-105.0575,37.5117,355.98966718933866,266.11000748202616
81057,Mc Clave,CO,-102.8869,38.085,388.5020179126164,257.9945668216037
81058,Manzanola,CO,-103.8766,38.1109,374.17982340072024,256.39005796052174
81059,Model,CO,-104.223,37.5192,368.19324702434426,267.08046009764644
81062,Olney Springs,CO,-103.941,38.2019,373.38920402672085,254.60204273826434
81063,Ordway,CO,-103.8003,38.2095,375.43871837462444,254.62833786379292
81064,Pritchett,CO,-102.9145,37.2723,386.9873283293326,273.2509512965581
81067,Rocky Ford,CO,-103.7251,38.049,376.28208812155253,257.73427632061396
81069,Rye,CO,-104.9303,37.9236,358.5761035830385,258.5528191104279
81071,Sheridan Lake,CO,-102.2921,38.4667,397.6153271819233,251.41195269150012
81073,Springfield,CO,-102.6173,37.4067,391.52654583808265,271.033746862298
81076,Sugar City,CO,-103.6556,38.2444,377.58741272101673,254.14309703138304
81077,Swink,CO,-103.6283,38.0145,377.6350456138073,258.4965404816627
81081,Trinchera,CO,-104.1184,37.0757,369.0083864035783,275.54494478147944
81082,Trinidad,CO,-104.5038,37.2691,363.66890448399744,271.41593460017054
81084,Two Buttes,CO,-102.4332,37.5214,394.3710147123556,269.0612319668053
81087,Vilas,CO,-102.4437,37.373,394.0277691820762,271.8428860732482
81089,Walsenburg,CO,-104.7798,37.6465,360.2800417665837,263.96047668820586
81090,Walsh,CO,-102.2537,37.3521,396.788117918883,272.42255106252685
81091,Weston,CO,-104.8247,37.1702,358.79262087494357,272.84291392905993
81092,Wiley,CO,-102.7147,38.159,391.1006647263944,256.78172493946875
81101,Alamosa,CO,-105.8786,37.4703,343.923049370037,265.68856658380844
81102,Alamosa,CO,-105.8818,37.476,343.8874890627684,265.5767828261387
81120,Antonito,CO,-106.0379,37.0855,340.8327252763147,272.65988315493144
81121,Arboles,CO,-107.4192,37.0281,320.4526787378154,271.43881500321584
81122,Bayfield,CO,-107.6137,37.2603,318.1354970326628,266.74577824788196
81123,Blanca,CO,-105.5178,37.4317,349.11855493522853,266.95228039868437
81124,Capulin,CO,-106.1114,37.2839,340.151633154514,268.82507970138704
81125,Center,CO,-106.0906,37.7343,341.3560391270191,260.41173157119977
81126,Chama,CO,-105.3783,37.162,350.656068003254,272.21669364026934
81128,Chromo,CO,-106.8434,37.0364,328.9143579888944,272.27679926429914
81129,Conejos,CO,-106.0265,37.1011,341.0309635985112,272.38507747872177
81130,Creede,CO,-106.9277,37.8164,329.3653509525375,257.5226889698919
81131,Crestone,CO,-105.6879,37.953,347.6335965788645,256.92050094416754
81132,Del Norte,CO,-106.4073,37.6447,336.56635355277416,261.59280876751745
81133,Fort Garland,CO,-105.4049,37.427,350.75960281633525,267.20525714880216
81135,Homelake,CO,-106.097,37.5756,340.94561686497946,263.37775301933686
81136,Hooper,CO,-105.8712,37.7232,344.5255231763299,260.9562885560417
81137,Ignacio,CO,-107.6395,37.1264,317.45012170219866,269.20547804897933
81138,Jaroso,CO,-105.6242,37.0028,346.746337198412,274.84155472270834
81140,La Jara,CO,-106.0054,37.2907,341.71617043181755,268.8623230921728
81141,Manassa,CO,-105.9278,37.1755,342.6251772728309,271.14233863255936
81143,Moffat,CO,-105.8411,38.0452,345.5910920618592,254.96194510877046
81144,Monte Vista,CO,-106.1408,37.5731,340.30224922994444,263.35641024107406
81146,Mosca,CO,-105.8069,37.6358,345.29129042323837,262.6929388348764
81147,Pagosa Springs,CO,-107.0385,37.2523,326.5247164979699,267.90219435050756
81148,Romeo,CO,-105.9858,37.1721,341.7684220925073,271.11672177837295
81149,Saguache,CO,-106.1876,38.0977,340.6785962443389,253.44682070176918
81151,Sanford,CO,-105.9047,37.2583,343.1261586057097,269.6248943408341
81152,San Luis,CO,-105.4781,37.1066,349.0883238865404,273.1104875604108
81154,South Fork,CO,-106.6125,37.6725,333.638295994674,260.74021530597724
81155,Villa Grove,CO,-106.1102,38.2952,342.1940703120925,249.86340518498844
81157,Pagosa Springs,CO,-107.0098,37.2694,326.9816479956373,267.63079240761465
81201,Salida,CO,-105.9978,38.5259,344.27315731102976,245.70919361765436
81210,Almont,CO,-106.6603,38.82,335.3650305257122,239.1585501926803
81211,Buena Vista,CO,-106.1471,38.838,342.75225048865207,239.6289641096448
81212,Canon City,CO,-105.2178,38.4451,355.35344918830583,248.364618643428
81215,Canon City,CO,-105.4766,38.4776,351.6839578325885,247.38671703720945
81220,Cimarron,CO,-107.4824,38.3876,322.61602475589746,245.876115144638
81221,Coal Creek,CO,-105.1483,38.3611,356.20319664563044,250.03846450688127
81222,Coaldale,CO,-105.7843,38.3824,347.0673952542468,248.7218479646965
81223,Cotopaxi,CO,-105.6881,38.3703,348.4314801564249,249.09145887143598
81224,Crested Butte,CO,-106.9619,38.8691,331.1535431941155,237.74556407157684
81225,Crested Butte,CO,-106.9631,38.9006,331.204737971888,237.15356090126227
81226,Florence,CO,-105.1232,38.385,356.6086948942647,249.62476595003614
81227,Monarch,CO,-106.2946,38.553,340.05857948762025,244.74359404295387
