lat,lon
-76.811,36.8437
-76.9641,37.2279
-78.4076,37.3027
-78.3949,37.3016
-78.279,36.7236
-78.3752,36.6544
-78.1059,36.5763
-77.9898,36.7319
-78.5985,37.5833
-78.1961,37.1952
-78.6378,37.0879
-78.4553,36.8053
-78.5569,36.624
-78.1059,37.1657
-78.6459,37.1552
-78.4349,37.4124
-78.5615,36.9688
-78.01,36.9053
-78.8065,37.3772
-78.4861,36.9182
-78.3072,37.1234
-78.4618,37.2381
-78.1242,36.933
-78.4699,37.0411
-78.0754,36.6613
-78.2915,36.9291
-78.3874,37.1013
-78.0578,37.1161
-78.6517,37.2653
-78.7912,37.0925
-78.5462,37.3058
-78.7054,36.9515
-78.8145,37.1914
-78.6321,36.7724
-78.2793,37.2721
-78.6321,36.9053
-78.5306,36.7317
-78.1534,36.7124
-78.2372,36.9835
-78.5982,36.8391
-79.9579,37.2742
-79.942,37.269
-79.9322,37.3029
-79.9247,37.2677
-79.9463,37.2327
-79.9807,37.2584
-79.9535,37.2704
-79.9902,37.2937
-80.0525,37.2503
-79.9052,37.3515
-79.9448,37.3589
-79.9332,37.2784
-80.4062,37.2107
-79.9579,37.2742
-79.9392,37.2717
-79.9399,37.2692
-79.7862,37.5551
-80.5093,36.6139
-79.7396,36.6548
-80.0055,36.7534
-80.6151,37.1982
-80.1215,37.1549
-80.4347,37.2563
-80.3515,37.1791
-80.3957,37.1742
-79.8172,37.3885
-79.9556,37.1331
